item;itemName;answerOptions;answerPolarity;;;
1;the beach;“I was also planning to go! Maybe I’ll see you there.”;positive;;;
1;the beach;“Right, windy conditions can make a difference.”;neutral;;;
1;the beach;“Ah, yeah, with that wind I wouldn’t find the beach pleasant either.”;negative;;;
2;the mountains;“Perfect, fresh snow sounds great to me too —see you there!”;positive;;;
2;the mountains;“True, it’s meant to snow that day, I forgot about that!”;neutral;;;
2;the mountains;“Ah, I’m no fan of snow either - maybe we’ll wait for it to melt first!”;negative;;;
3;running;“Nice, I’ve always wanted to try a marathon as well!”;positive;;;
3;running;“Oh wow, that’s a big event. Maybe I’ll come by and watch!”;neutral;;;
3;running;“Ah, a full marathon? Yeah, that’s probably too difficult for me as well.”;negative;;;
4;festivals;“Well, I hope the rehearsal goes well! Sad that fans like me can’t be there too.”;positive;;;
4;festivals;“Right, I forgot it’s just the band soundcheck that day.”;neutral;;;
4;festivals;“Ah, if it’s band-only that day, then I guess I won’t be there on Friday either.”;negative;;;
5;chess;“Well, I’m not a professional like you, but I might come to watch you play!”;positive;;;
5;chess;“Wow, that’s a really long match.”;neutral;;;
5;chess;“Ah, six hours is too long for me too —maybe another match then.”;negative;;;
6;concerts;“Sounds lovely, I’ll come hear the quartet too!”;positive;;;
6;concerts;“Oh, I didn’t realise it was a string quartet.”;neutral;;;
6;concerts;“Ah, string quartets aren’t really for me either.”;negative;;;
7;books;“Nice, I’ve been meaning to read the book too!”;positive;;;
7;books;“Oh wow, that’s quite a long book.”;neutral;;;
7;books;“Ah, 600 pages? Yeah, I think that’s too long for me as well.”;negative;;;
8;antique shopping;“Perfect for you then! I’ve been meaning to check it out as well.”;positive;;;
8;antique shopping;“Well, if you don’t think they are too expensive, I’d love to go there together sometime!” ;neutral;;;
8;antique shopping;“Ah, if it’s all expensive paintings, it’s not for me either then.”;negative;;;
9;the gym;“Nice, early classes like that are great—I’d go regularly too!”;positive;;;
9;the gym;“Oh, I see—it’s an early class.”;neutral;;;
9;the gym;“Ah, yeah, 7am is way too early for me—I definitely wouldn’t go either.”;negative;;;
10;food;“Nice, I love spicy food as well—I’d definitely want to try it!”;positive;;;
10;food;“Right, I forgot that it's meant to be really spicy.”;neutral;;;
10;food;“Ah, super spicy food? Yeah, that would definitely put me off too.”;negative;;;
c1;gardening;“That’s so cool! I would love to cook with my own veggies too.”;positive;;;
c1;gardening;“Wow, that's impressive!”;neutral;;;
c1;gardening;“I don’t think I would ever trust my own gardening skills enough to eat my own vegetables.”;negative;;;
c2;baking;“Well, I would love to buy a pastry from you at some point!”;positive;;;
c2;baking;“Oh, do your friends and family have to pay for them?”;neutral;;;
c2;baking;“They’re lucky to get them for free, then!”;negative;;;
c3;painting;“I love landscapes, they’re my favourite paintings to have in my house!”;positive;;;
c3;painting;“Oh cool, landscapes can be very peaceful.”;neutral;;;
c3;painting;“I think I prefer portraits, but landscapes are cool too.”;negative;;;
c4;photography;“Well, maybe one day they will start paying you for it!”;positive;;;
c4;photography;“That’s great — it’s nice to keep it just for fun.”;neutral;;;
c4;photography;“Oh, you should start charging for it if you’re serious about it!”;negative;;;
c5;coding;“That’s really impressive, I’d love to build my own programs.”;positive;;;
c5;coding;“Really? What were the apps for?”;neutral;;;
c5;coding;“Wow! I can’t code at all, unfortunately.”;negative;;;
c6;dancing;“That’s amazing — performing on stage must be so exciting.”;positive;;;
c6;dancing;“Cool, I’ve never seen a tap dance performance!”;neutral;;;
c6;dancing;“I don’t think I’d ever feel comfortable performing in front of people.”;negative;;;
c7;fishing;“That’s nice — I like the idea of just catching and releasing them.”;positive;;;
c7;fishing;“Very animal friendly!”;neutral;;;
c7;fishing;“I think I’d rather keep them and cook them.”;negative;;;
c8;knitting;“Wow, it must be nice to wear something you made yourself.”;positive;;;
c8;knitting;“That's impressive!”;neutral;;;
c8;knitting;“I don't think I could ever make a sweater good enough to wear.”;negative;;;
c9;travel;“I prefer driving as well!”;positive;;;
c9;travel;“I honestly enjoy both train and car rides a lot.” ;neutral;;;
c9;travel;“I’d much rather take the train than drive myself.”;negative;;;